iter	Passed	Remaining
0	0	103
1	1	90
2	1	81
3	2	80
4	3	78
5	3	76
6	4	74
7	4	73
8	5	77
9	6	76
10	6	74
11	7	73
12	8	72
13	8	71
14	9	71
15	10	70
16	10	69
17	11	68
18	11	68
19	12	67
20	13	67
21	13	66
22	14	65
23	15	65
24	15	64
25	16	63
26	16	62
27	17	60
28	17	59
29	17	58
30	18	57
31	18	56
32	61	175
33	61	171
34	62	166
35	63	161
36	63	156
37	64	152
38	65	148
39	65	144
40	66	140
41	66	136
42	67	133
43	68	129
44	68	126
45	69	123
46	69	120
47	70	117
48	70	114
49	71	111
50	72	108
51	72	106
52	73	103
53	74	101
54	74	99
55	75	97
56	76	94
57	76	92
58	77	90
59	77	88
60	78	86
61	78	83
62	79	82
63	80	80
64	80	78
65	81	76
66	81	74
67	82	72
68	83	71
69	83	69
70	84	67
71	84	65
72	85	64
73	85	62
74	86	61
75	87	59
76	87	58
77	88	56
78	88	55
79	89	53
80	89	52
81	90	50
82	90	49
83	91	47
84	91	46
85	92	45
86	93	43
87	93	42
88	94	41
89	94	39
90	95	38
91	95	37
92	96	36
93	96	35
94	97	33
95	98	32
96	98	31
97	99	30
98	99	29
99	100	28
100	100	26
101	100	25
102	101	24
103	101	23
104	102	22
105	102	21
106	103	20
107	103	19
108	104	18
109	104	17
110	104	16
111	105	15
112	105	14
113	106	13
114	106	12
115	157	16
116	158	14
117	158	13
118	159	12
119	163	10
120	163	9
121	164	8
122	165	6
123	165	5
124	166	3
125	167	2
126	167	1
127	168	0
