iter	Passed	Remaining
0	1	1731
1	2	1213
2	3	1131
3	4	996
4	4	912
5	5	856
6	5	833
7	6	808
8	7	780
9	8	813
10	8	792
11	9	775
12	10	798
13	11	788
14	11	771
15	12	758
16	12	747
17	13	736
18	14	725
19	14	730
20	15	728
21	16	719
22	16	712
23	17	706
24	21	850
25	22	853
26	23	840
27	23	828
28	24	815
29	25	815
30	25	804
31	26	792
32	26	781
33	27	775
34	27	767
35	84	2262
36	85	2214
37	85	2168
38	86	2122
39	86	2079
40	87	2037
41	87	1996
42	87	1958
43	88	1922
44	88	1888
45	89	1854
46	89	1821
47	90	1790
48	90	1759
49	91	1732
50	91	1704
51	92	1679
52	92	1654
53	93	1629
54	94	1628
55	95	1607
56	95	1587
57	96	1565
58	96	1545
59	97	1525
60	97	1506
61	98	1489
62	98	1472
63	99	1455
64	100	1439
65	100	1423
66	101	1407
67	101	1393
68	102	1385
69	103	1372
70	103	1358
71	104	1344
72	106	1354
73	107	1341
74	107	1328
75	108	1314
76	108	1301
77	108	1288
78	109	1277
79	111	1278
80	111	1267
81	112	1255
82	112	1242
83	121	1322
84	121	1312
85	122	1303
86	123	1291
87	123	1281
88	124	1271
89	124	1261
90	125	1252
91	125	1242
92	126	1232
93	126	1223
94	127	1214
95	127	1205
96	180	1683
97	181	1669
98	181	1655
99	182	1642
100	182	1628
101	183	1615
102	184	1602
103	184	1590
104	185	1579
105	185	1567
106	186	1555
107	186	1543
108	187	1531
109	187	1519
110	188	1508
111	188	1496
112	189	1485
113	189	1475
114	190	1464
115	190	1455
116	191	1444
117	191	1433
118	192	1423
119	192	1414
120	193	1406
121	193	1395
122	194	1386
123	195	1377
124	195	1368
125	196	1362
126	196	1352
127	202	1376
128	202	1367
129	208	1393
130	208	1385
131	209	1376
132	209	1368
133	210	1359
134	210	1351
135	211	1342
136	211	1334
137	212	1327
138	213	1319
139	213	1312
140	214	1304
141	214	1295
142	214	1288
143	215	1280
144	215	1273
145	216	1266
146	217	1259
147	217	1252
148	217	1244
149	218	1237
150	218	1231
151	219	1224
152	220	1218
153	220	1211
154	221	1205
155	221	1199
156	222	1194
157	276	1472
158	276	1464
159	277	1455
160	277	1446
161	278	1438
162	278	1429
163	278	1421
164	279	1414
165	279	1406
166	280	1399
167	281	1391
168	281	1384
169	281	1376
170	283	1372
171	283	1367
172	284	1361
173	285	1355
174	286	1350
175	286	1342
176	287	1338
177	288	1332
178	289	1326
179	290	1322
180	290	1315
181	291	1308
182	291	1302
183	292	1295
184	292	1289
185	293	1282
186	293	1276
187	294	1270
188	294	1264
189	295	1258
190	295	1252
191	296	1245
192	296	1239
193	297	1234
194	297	1229
195	298	1225
196	299	1220
197	299	1214
198	300	1210
199	301	1205
200	301	1200
201	302	1194
202	303	1189
203	303	1184
204	303	1178
205	304	1172
206	304	1168
207	305	1163
208	306	1158
209	306	1152
210	306	1147
211	307	1142
212	308	1140
213	309	1135
214	309	1130
215	310	1127
216	311	1122
217	311	1117
218	312	1113
219	313	1109
220	313	1105
221	314	1101
222	314	1097
223	315	1092
224	315	1088
225	316	1083
226	316	1079
227	317	1074
228	317	1070
229	318	1065
230	318	1060
231	319	1056
232	319	1051
233	364	1191
234	364	1187
235	365	1182
236	365	1177
237	366	1172
238	366	1167
239	367	1162
240	367	1157
241	368	1152
242	368	1147
243	368	1142
244	369	1138
245	370	1134
246	370	1130
247	371	1126
248	372	1122
249	372	1117
250	373	1114
251	373	1109
252	374	1106
253	375	1103
254	377	1101
255	377	1097
256	378	1093
257	378	1089
258	379	1084
259	388	1104
260	388	1100
261	389	1096
262	389	1092
263	402	1121
264	402	1117
265	403	1113
266	403	1108
267	404	1104
268	404	1100
269	405	1095
270	405	1091
271	406	1087
272	406	1083
273	407	1078
274	407	1074
275	407	1070
276	408	1066
277	409	1062
278	409	1058
279	410	1054
280	410	1050
281	410	1046
282	411	1042
283	411	1037
284	412	1033
285	412	1029
286	413	1026
287	413	1022
288	414	1019
289	414	1015
290	415	1011
291	415	1007
292	415	1003
293	416	999
294	416	995
295	417	992
296	418	989
297	418	986
298	419	983
299	424	990
300	425	987
301	425	983
302	426	980
303	426	976
304	453	1033
305	454	1029
306	454	1026
307	456	1025
308	458	1025
309	459	1021
310	461	1021
311	461	1017
312	463	1016
313	463	1013
314	464	1010
315	465	1007
316	466	1004
317	466	1001
318	467	997
319	467	993
320	468	991
321	468	987
322	469	983
323	470	981
324	471	978
325	471	974
326	472	972
327	472	968
328	473	964
329	513	1043
330	514	1040
